group,structure,label,type,type_label,seas_adj,seas_adj_label,available,source,url
headline,gdp,"Gross domestic product at market prices, B1GQ",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,cons,"Final consumption expenditure, P3",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,cons_priv,"Final consumption expenditure, households and NPISH,  P31_S14_S15",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,cons_gov,"Final consumption expenditure of general government, P3_S13",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,inv,"Investment, P5",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,inv_fixed,"Investment in fixed assets and software, P5111_N113T117G",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,inv_gfcf,"Gross fixed capital formation, P51G",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,inv_constr,"Investment in construction, P5111_N111_112G",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,exp,"Exports of goods and services, P6",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,exp_good,"Exports of goods, P61",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,exp_serv,"Exports of services, P62",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,imp,"Imports of goods and services, P7",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,imp_good,"Imports of goods,  P71",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,imp_serv,"Imports of services,  P72",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
expenditure,stocks,"Changes in inventories, statistical discrepancy,  P52_YA0",real,Real,cssa,"Seasonally, calendar and sports event adjusted",False,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
value_added,gva,"Gross value added before adjustments, B1G",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
value_added,agric,"Agriculture, forestry and fishing (noga 01-03)",real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
value_added,mining,Mining and quarrying (noga 05-09),real,Real,cssa,"Seasonally, calendar and sports event adjusted",True,SECO machine-readable quarterly national accounts,https://scheduler.swissdatas.ch/scheduled/ch-seco-gdp.csv
